bbl,Submission Date,Heating System Type,Cooling System Type,Has Building Automation,Heating Automation,Cooling Automation,building_sqft
1000050010,2015-12-31,Heat Pump,No Cooling,yes,no,no,1016406.0
1000090001,6/29/21 12:27,Furnace (Gas),DX Cooling,yes,no,no,692431.0
1000090014,2020,District Steam,DX Cooling,yes,yes,yes,575860.0
1000090029,2019,District Steam,Plant,yes,yes,yes,835356.0
1000100014,2020,District Steam,DX Cooling,yes,yes,yes,365792.0
1000100016,12/30/20 20:04,Boiler (Steam),DX Cooling,yes,no,no,336025.0
1000100023,2020,District Steam,Plant,yes,yes,yes,321994.0
1000110021,,Boiler (Steam),DX Cooling,yes,no,no,361710.0
1000130001,2023,Boiler (Fuel Oil),DX Cooling,yes,yes,no,230911.0
1000130005,2023,District Steam,Plant,yes,no,yes,434220.0
1000130027,2023,District Steam,Plant,yes,yes,yes,809401.0
1000160120,,District Steam,Plant,yes,yes,yes,1501878.0
1000160125,12/27/17,Boiler (Gas),DX Cooling,yes,yes,yes,2267925.0
1000160140,,District Steam,Plant,yes,no,no,2233692.0
1000160150,12/15/17,Boiler (Gas),Plant,yes,yes,yes,2084079.0
1000160225,,District Steam,Plant,yes,no,no,502000.0
1000160260,2016,District Steam,Plant,yes,yes,no,2157862.0
1000200001,2023,District Steam,DX Cooling,yes,no,no,316150.0
1000200004,2022,District Steam,DX Cooling,yes,yes,yes,447442.0
1000200009,2022,District Steam,DX Cooling,yes,yes,yes,394763.0
1000200016,2022,District Steam,DX Cooling,yes,yes,yes,354072.0
1000210001,2023,District Steam,DX Cooling,yes,yes,no,709506.0
1000210004,2022,District Steam,Plant,yes,yes,yes,335184.0
1000220013,2024,Boiler (Fuel Oil),Plant,yes,yes,yes,200000.0
1000220017,2024,Boiler (Gas),DX Cooling,yes,no,no,145494.0
1000220020,2024,Boiler (Gas),DX Cooling,yes,yes,no,405244.0
1000220024,2022,Boiler (Elec),DX Cooling,yes,yes,yes,300676.0
1000220028,2022,Boiler (Gas),DX Cooling,yes,yes,yes,345540.0
1000230019,12/6/13,Boiler (Gas),Plant,yes,no,yes,240279.0
1000240001,2024,District Steam,Plant,yes,yes,yes,1072213.0
1000240029,2019,District Steam,DX Cooling,yes,yes,yes,370000.0
1000240036,,District Steam,DX Cooling,yes,no,no,205940.0
1000250001,2015,District Steam,Plant,yes,yes,yes,406025.0
1000250027,12/13/17,Boiler (Gas),DX Cooling,yes,yes,yes,239071.0
1000280012,,Boiler (Gas),DX Cooling,no,yes,yes,95325.0
1000290001,,District Steam,Plant,yes,yes,yes,1007569.0
1000290036,2020,Boiler (Elec),Plant,yes,yes,yes,105000.0
1000290070,2021,District Steam,Plant,yes,yes,yes,671172.0
1000290073,2019,District Steam,DX Cooling,yes,yes,no,97596.0
1000330001,2023,District Steam,Plant,yes,yes,no,546882.0
1000350001,12/18/15,Boiler (Gas),DX Cooling,yes,yes,yes,973587.0
1000350010,,District Steam,Plant,yes,yes,yes,990250.0
1000370023,,Boiler (Gas),DX Cooling,yes,no,no,1079361.0
1000380001,,Heat Pump,DX Cooling,yes,no,no,463664.0
1000380017,,District Steam,Plant,yes,no,no,664990.0
1000390012,2019,District Steam,Plant,yes,yes,yes,1049691.0
1000400003,2020,District Steam,Plant,yes,yes,yes,1625483.0
1000400014,2020,District Steam,Plant,yes,yes,yes,313918.0
1000420031,2024,District Steam,Plant,yes,no,no,527605.0
1000430001,2024,District Steam,DX Cooling,yes,yes,yes,289049.0
1000430002,12/25/24 18:33,Boiler (Gas),DX Cooling,yes,no,no,1061286.0
1000430005,12/27/23 16:32,Boiler (Gas),DX Cooling,yes,no,no,108663.0
1000440001,12/29/24 15:53,Furnace (Gas),DX Cooling,yes,no,no,2224200.0
1000460001,2016,District Steam,DX Cooling,yes,yes,yes,173159.0
1000460003,10/12/16,Boiler (Elec),DX Cooling,yes,yes,yes,364390.0
1000460009,2017,District Steam,Plant,yes,yes,yes,1087770.0
1000480001,2018,District Steam,Plant,yes,yes,yes,1272119.0
1000490002,2019,District Steam,Plant,yes,yes,yes,450000.0
1000500001,2021,District Steam,DX Cooling,yes,yes,yes,400000.0
1000510001,12/20/21 15:09,Boiler (Steam),DX Cooling,yes,no,no,400294.0
1000510007,2021,Boiler (Elec),DX Cooling,yes,no,no,281121.0
1000627501,2022-11-03 16:12:47 UTC,Boiler (Gas),DX Cooling,yes,no,no,1690747.0
1000630003,1/3/24 9:33,Boiler (Gas),DX Cooling,yes,no,no,647875.0
1000640012,2024,District Steam,DX Cooling,yes,no,no,276000.0
1000640015,2024,Boiler (Fuel Oil),DX Cooling,yes,yes,yes,150000.0
1000650007,2015,District Steam,DX Cooling,yes,yes,no,144200.0
1000660001,2016,District Steam,Plant,yes,yes,yes,640000.0
1000670001,2017,District Steam,DX Cooling,yes,yes,yes,1073000.0
1000670023,,District Steam,Plant,yes,no,no,558327.0
1000680007,,District Steam,DX Cooling,yes,no,no,155450.0
1000680011,2018,District Steam,DX Cooling,yes,no,no,155026.0
1000680036,,District Steam,DX Cooling,yes,no,no,377120.0
1000700043,,Heat Pump,DX Cooling,yes,yes,yes,143300.0
1000717501,,Boiler (Gas),DX Cooling,yes,yes,yes,462377.0
1000747501,2024-12-31 12:04:16,Boiler (Gas),DX Cooling,yes,no,no,744146.0
1000750021,12/18/13,Boiler (Gas),DX Cooling,yes,no,yes,234553.0
1000750030,2016,District Steam,Plant,yes,yes,yes,296076.0
1000770008,2017,District Steam,Plant,yes,yes,no,788240.0
1000780004,12/21/20 9:54,Furnace (Gas),DX Cooling,yes,no,no,493039.0
1000800001,4/1/21 8:09,Boiler (Steam),DX Cooling,yes,no,no,1094861.0
1000860001,,District Steam,Plant,yes,no,no,1154357.0
1000880001,2018,District Steam,Plant,yes,yes,yes,133198.0
1000880005,,Heat Pump,DX Cooling,no,no,no,80298.0
1000880010,2018,District Steam,DX Cooling,yes,yes,no,71959.0
1000880018,2018,Boiler (Fuel Oil),DX Cooling,yes,yes,yes,480831.0
1000890001,12/7/20 8:23,Boiler (Gas),DX Cooling,no,no,no,100000.0
1000890012,,Heat Pump,DX Cooling,yes,no,no,756138.0
1000920024,2023,Boiler (Gas),Plant,yes,yes,no,109173.0
1000930001,11/20/23 8:44,Boiler (Steam),DX Cooling,yes,no,no,463679.0
